Gene Synonym,Gene name
FLJ25974,CFAP206
C2ORF77,CFAP210
CCDC173,CFAP210
LOC129881,CFAP210
CAM-IP4,CFAP251
MGC33630,CFAP251
WDR66,CFAP251
C1ORF194,CFAP276
C4ORF22,CFAP299
C11ORF70,CFAP300
DNAAF17,CFAP300
FBB5,CFAP300
MGC13040,CFAP300
BBS21,CFAP418
C8ORF37,CFAP418
CORD16,CFAP418
FAP418,CFAP418
FLJ30600,CFAP418
MOT25,CFAP418
RP64,CFAP418
C8ORF37-AS1,CFAP418-AS1
TOSPEAK,CFAP418-AS1
CRYPTIC,CFC1
HTX2,CFC1
ARMD4,CFH
ARMS1,CFH
FHL1,CFH
HF,CFH
HF1,CFH
HF2,CFH
HUS,CFH
CFHL,CFHR1
CFHL1,CFHR1
CFHL1P,CFHR1
CFHR1P,CFHR1
FHR1,CFHR1
H36-1,CFHR1
H36-2,CFHR1
HFL1,CFHR1
HFL2,CFHR1
CFHL3,CFHR3
DOWN16,CFHR3
FHR-3,CFHR3
FHR3,CFHR3
HLF4,CFHR3
CFHL4,CFHR4
FHR-4,CFHR4
FHR4,CFHR4
C3B-INA,CFI
FI,CFI
IF,CFI
KAF,CFI
CFL,CFL1
CFLL2,CFL1P2
CFLP2,CFL1P2
CFLL3,CFL1P3
CFLP3,CFL1P3
CFLL4,CFL1P4
CFLP4,CFL1P4
CFLP6,CFL1P6
NEM7,CFL2
C-FLIP,CFLAR
CASH,CFLAR
CASP8AP1,CFLAR
CASPER,CFLAR
CFLIP,CFLAR
CLARP,CFLAR
FLAME,CFLAR
FLIP,CFLAR
I-FLICE,CFLAR
MRIT,CFLAR
ALS2CR10,CFLAR-AS1
ABC35,CFTR
ABCC7,CFTR
CF,CFTR
CFTR/MRP,CFTR
DJ760C5.1,CFTR
MRP7,CFTR
TNR-CFTR,CFTR
BGAS,CFTR-AS1
FSHA,CGA
GPA1,CGA
GPHA,CGA
GPHA1,CGA
HCG,CGA
LHA,CGA
TSHA,CGA
CGB,CGB3
CG-BETA-A,CGB7
CGGBP,CGGBP1
P20-CGGBP,CGGBP1
KIAA1319,CGN
FLJ14957,CGNL1
JACOP,CGNL1
KIAA1749,CGNL1
PCING,CGNL1
CGR11,CGREF1
CGR19,CGRRF1
RNF197,CGRRF1
MGC4504,CHAC1
GCG1,CHAC2
SLRR4A,CHAD
LINC01578,CHASERR
FLJ31709,CHCHD4
MIA40,CHCHD4
TIMM40,CHCHD4
C2ORF9,CHCHD5
MGC11104,CHCHD5
MIC14,CHCHD5
MIX14,CHCHD5
C17ORF64,CHCT1
LINC02062,CHD1-DT
ALC1,CHD1L
DKFZP547I1315,CHD2
DKFZP686E01200,CHD2
DKFZP781D1727,CHD2
FLJ38614,CHD2
MI-2A,CHD3
MI2-ALPHA,CHD3
ZFH,CHD3
MI-2B,CHD4
MI2-BETA,CHD4
CRG,CHD7
FLJ20357,CHD7
FLJ20361,CHD7
KIAA1416,CHD7
BC022889,CHD9
FLJ12178,CHD9
KIAA0308,CHD9
PR-LNCRNA-1,CHD9NB
CHK1,CHEK1
FLJ10796,CHFR
RNF196,CHFR
GP39,CHI3L1
YK-40,CHI3L1
YKL40,CHI3L1
YKL-39,CHI3L2
YKL39,CHI3L2
BTL,CHIC2
CHI3,CHIT1
CHIT,CHIT1
CHK,CHKA
CKI,CHKA
REP-2,CHML
BC-2,CHMP2A
CHMP2,CHMP2A
VPS2,CHMP2A
VPS2A,CHMP2A
CHMP2.5,CHMP2B
DKFZP564O123,CHMP2B
VPS2B,CHMP2B
CGI-149,CHMP3
NEDF,CHMP3
VPS24,CHMP3
MGC22825,CHMP4C
SHAX3,CHMP4C
VPS32C,CHMP4C
C9ORF83,CHMP5
CGI-34,CHMP5
HSPC177,CHMP5
SNF7DC2,CHMP5
VPS60,CHMP5
FLJ11749,CHMP6
VPS20,CHMP6
ARHGAP2,CHN1
CHN,CHN1
DURS2,CHN1
N-CHIMERIN,CHN1
RHOGAP2,CHN1
ARHGAP3,CHN2
RHOGAP3,CHN2
CHSY2,CHPF
CSS2,CHPF
CHSY-3,CHPF2
CSGLCA-T,CHPF2
KIAA1402,CHPF2
BNF1,CHRDL2
CHRNA,CHRNA1
NACHRA9,CHRNA9
ACHRD,CHRND
ACHRE,CHRNE
ACHRG,CHRNG
CHROME,CHROMR
PRKRA-AS1,CHROMR
C6ST,CHST1
KSGAL6ST,CHST1
C6ST,CHST3
C6ST1,CHST3
HEC-GLCNAC-6-ST,CHST4
LSST,CHST4
FLJ22167,CHST5
I-GLCNAC-6-ST,CHST5
HNK-1ST,CHST10
C4S-2,CHST12
C4ST2,CHST12
C4ST3,CHST13
CTF8,CHTF8
FLJ20400,CHTF8
C16ORF41,CHTF18
C321D2.4,CHTF18
CHL12,CHTF18
CTF18,CHTF18
C1ORF77,CHTOP
DKFZP547E1010,CHTOP
FOP,CHTOP
SRAG,CHTOP
IKBKA,CHUK
IKK-ALPHA,CHUK
IKK1,CHUK
IKKA,CHUK
NFKBIKA,CHUK
TCF16,CHUK
FAM96AP2,CIAO2AP2
CGI-128,CIAO2B
CIA2B,CIAO2B
FAM96B,CIAO2B
MIP18,CIAO2B
BC017397,CIART
C1ORF51,CIART
CHRONO,CIART
CIB,CIB1
KIP,CIB1
SIP2-28,CIB1
FAM92A1P1,CIBAR1P1
FAM92A2,CIBAR1P1
FAM92B,CIBAR2
FLJ44299,CIBAR2
KIAA0306,CIC
CIDE-3,CIDEC
FLJ20871,CIDEC
FSP27,CIDEC
CICE,CIDECP1
CIDECP,CIDECP1
C2TA,CIITA
MHC2TA,CIITA
NLRA,CIITA
KIAA1524,CIP2A
CIR,CIR1
CIRP,CIRBP
C19ORF23,CIRBP-AS1
MGC39338,CIRBP-AS1
C10ORF70,CISD1
MDS029,CISD1
MITONEET,CISD1
ZCD1,CISD1
CIS,CISH
CIS-1,CISH
G18,CISH
SOCS,CISH
CITK,CIT
CRIK,CIT
KIAA0949,CIT
STK21,CIT
MSG1,CITED1
MRG1,CITED2
FLJ40629,CKAP2L
RADMIS,CKAP2L
CH-TOG,CKAP5
KIAA0097,CKAP5
TOG,CKAP5
TOGP,CKAP5
CKS1,CKS1B
CKSHS1,CKS1B
CKS1,CKS1BP7
CKS1A,CKS1BP7
KIAA0622,CLASP1
MAST1,CLASP1
KIAA0627,CLASP2
CLASP,CLASRP
SFRS16,CLASRP
SWAP2,CLASRP
GAL-10,CLC
LGALS10,CLC
MGC149659,CLC
CACC,CLCA1
CLCRG1,CLCA1
CLCRG2,CLCA2
CACC2,CLCA4
MCLC,CLCC1
CLC-1,CLCN1
CLC1,CLCN1
CLC-3,CLCN3
CLC3,CLCN3
CLC-6,CLCN6
KIAA0046,CLCN6
CLC-7,CLCN7
CLC7,CLCN7
OPTA2,CLCN7
PPP1R63,CLCN7
HCLC-KA,CLCNKA
HCLC-KB,CLCNKB
ILVASC,CLDN1
SEMP1,CLDN1
CPE-R,CLDN4
CPETR,CLDN4
CPETR1,CLDN4
HCPE-R,CLDN4
WBSCR8,CLDN4
OSP,CLDN11
OTM,CLDN11
HOMG3,CLDN16
PCLN1,CLDN16
SFTPJ,CLDN18
MGC33839,CLDND2
CLEC-2,CLEC1B
CLEC2,CLEC1B
INPE5792,CLEC2A
KACL,CLEC2A
PILAR,CLEC2A
UNQ5792,CLEC2A
AICL,CLEC2B
CLECSF2,CLEC2B
HP10085,CLEC2B
CLAX,CLEC2D
LLT1,CLEC2D
OCIL,CLEC2D
CLECSF1,CLEC3A
TN,CLEC3B
TNA,CLEC3B
CD367,CLEC4A
CLECSF6,CLEC4A
DCIR,CLEC4A
DDB27,CLEC4A
HDCIR,CLEC4A
BDCA2,CLEC4C
CD303,CLEC4C
CLECSF11,CLEC4C
CLECSF7,CLEC4C
DLEC,CLEC4C
HECL,CLEC4C
CLECSF13,CLEC4F
FLJ39110,CLEC4F
KCLR,CLEC4F
LSECTIN,CLEC4G
UNQ431,CLEC4G
CLEC4O,CLEC4OP
LINC01835,CLEC4OP
CD301,CLEC10A
CLECSF13,CLEC10A
CLECSF14,CLEC10A
HML,CLEC10A
HML2,CLEC10A
CLECSF3,CLEC11A
LSLCL,CLEC11A
P47,CLEC11A
SCGF,CLEC11A
CD371,CLEC12A
CLL-1,CLEC12A
DCAL-2,CLEC12A
MICL,CLEC12A
GOP-1,CLEC16A
KIAA0350,CLEC16A
MRCL,CLEC18A
MRCL2,CLEC18B
FLJ44005,CLEC20A
LINC00083,CLEC20A
NCRNA00083,CLEC20A
RP4-593C16.2,CLEC20A
CLECL1,CLECL1P
DCAL1,CLECL1P
C2ORF63,CLHC1
FLJ31438,CLHC1
CLIC4L,CLIC4
DKFZP566G223,CLIC4
H1,CLIC4
HUH1,CLIC4
P64H1,CLIC4
CLIP,CLIP1
CLIP-170,CLIP1
CLIP170,CLIP1
CYLN1,CLIP1
RSN,CLIP1
CLIPR-59,CLIP3
RSNL1,CLIP3
FLJ21069,CLIP4
RSNL2,CLIP4
CLK2P,CLK2P1
CLLU1OS,CLLU1-AS1
MIST,CLNK
HCLP1,CLP1
HEAB,CLP1
ANKCLB,CLPB
FLJ13152,CLPB
HSP78,CLPB
SKD3,CLPB
C6ORF127,CLPSL1
DJ510O8.6,CLPSL1
C6ORF126,CLPSL2
DJ510O8.5,CLPSL2
UNQ3045,CLPSL2
RP61,CLRN1
USH3,CLRN1
USH3A,CLRN1
DFNB117,CLRN2
MGC32871,CLRN3
TMEM12,CLRN3
USH3AL1,CLRN3
CDHR12,CLSTN1
CSTN1,CLSTN1
KIAA0911,CLSTN1
LCA,CLTA
LCB,CLTB
CLTCL2,CLTC
HC,CLTC
APOJ,CLU
CLI,CLU
CLU1,CLU
CLU2,CLU
KUB1,CLU
SGP-2,CLU
SP-40,CLU
TRPM-2,CLU
CLU1,CLUH
KIAA0664,CLUH
C16ORF67,CLUHP3
KIAA0664L3,CLUHP3
KIAA0664P3,CLUHP3
MGC3020,CLUHP3
KIAA0664L4,CLUHP4
KIAA0664P4,CLUHP4
BA160A10.4,CLVS2
C6ORF212,CLVS2
C6ORF213,CLVS2
RLBP1L2,CLVS2
CMAH,CMAHP
FLJ23617,CMBL
CMPK,CMPK1
UMP-CMPK,CMPK1
NDK,CMPK2
TYKI,CMPK2
UMP-CMPK2,CMPK2
CKLFH,CMTM1
CKLFH1A,CMTM1
CKLFSF1,CMTM1
AFT,CMTR2
FLJ11171,CMTR2
FTSJD1,CMTR2
MTR2,CMTR2
FLJ35802,CNBD1
C16ORF69,CNEP1R1
FLJ38101,CNEP1R1
NEP1-R1,CNEP1R1
TMEM188,CNEP1R1
ACHM2,CNGA3
CCNC1,CNGA3
CCNCA,CNGA3
CNCG3,CNGA3
CNG3,CNGA3
CNCA2,CNGA4
CNG5,CNGA4
CNGB2,CNGA4
OCNC2,CNGA4
OCNCB,CNGA4
CNCG2,CNGB1
CNCG3L,CNGB1
CNGB1B,CNGB1
GAR1,CNGB1
GARP,CNGB1
RCNC2,CNGB1
RCNCB,CNGB1
RP45,CNGB1
CNIH-3,CNIH3
FLJ38993,CNIH3
HSPC163,CNIH4
CNN2P5,CNN2P4
ACDP1,CNNM1
ACDP3,CNNM3
LOC100506036,CNNM3-DT
ACDP4,CNNM4
KIAA1592,CNNM4
AD-005,CNOT1
CDC39,CNOT1
KIAA1007,CNOT1
NOT1,CNOT1
NOT1H,CNOT1
CDC36,CNOT2
NOT2,CNOT2
NOT2H,CNOT2
CLONE243,CNOT4
NOT4,CNOT4
NOT4H,CNOT4
CCR4B,CNOT6L
DKFZP434K098,CNOT6L
CAF40,CNOT9
CT129,CNOT9
RCD1,CNOT9
RCD1+,CNOT9
RQCD1,CNOT9
C2ORF24,CNPPD1
CGI-57,CNPPD1
HP10390,CNPY2
TMEM4,CNPY2
ZSIG9,CNPY2
CAG4A,CNPY3
TNRC5,CNPY3
CB2,CNR2
C2ORF32,CNRIP1
CRIP1,CNRIP1
CRIP1A,CNRIP1
CRIP1B,CNRIP1
DKFZP566K1924,CNRIP1
F3,CNTN1
GP135,CNTN1
AXT,CNTN2
TAG-1,CNTN2
TAX,CNTN2
TAX1,CNTN2
BIG-1,CNTN3
PANG,CNTN3
HNB-2,CNTN5
NB-2,CNTN5
CASPR,CNTNAP1
CNTNAP,CNTNAP1
NRXN4,CNTNAP1
P190,CNTNAP1
CASPR5,CNTNAP5
FLJ31966,CNTNAP5
C7ORF44,COA1
FLJ10803,COA1
MITRAC15,COA1
C2ORF64,COA5
FLJ27524,COA5
MGC52110,COA5
PET191,COA5
C1ORF31,COA6
DPCK,COASY
NBP,COASY
PPAT,COASY
KIAA0633,COBL
KIAA0977,COBLL1
KIAA1381,COG1
LDLB,COG1
LDLC,COG2
COD1,COG4
DKFZP586E1519,COG4
OI4,COL1A1
OI4,COL1A2
AOM,COL2A1
SEDC,COL2A1
STL1,COL2A1
CA44,COL4A4
BA54A22.4,COL5A1-AS1
C9ORF104,COL5A1-AS1
COL6A4,COL6A4P1
COL6A4P,COL6A4P1
DIVA,COL6A4P1
DVWA,COL6A4P1
VWA6,COL6A4P1
COL29A1,COL6A5
FLJ35880,COL6A5
VWA4,COL6A5
EBD1,COL7A1
EBDCT,COL7A1
EBR1,COL7A1
FECD,COL8A2
FECD1,COL8A2
PPCD,COL8A2
PPCD2,COL8A2
EDM2,COL9A2
MED,COL9A2
CO11A1,COL11A1
COLL6,COL11A1
DFNA37,COL11A1
STL2,COL11A1
BP180,COL17A1
BPAG2,COL17A1
C11ORF92,COLCA1
CASC12,COLCA1
FLJ45803,COLCA1
CL-11,COLEC11
CL-K1,COLEC11
MGC3279,COLEC11
FLJ22329,COLGALT1
GLT25D1,COLGALT1
C1ORF17,COLGALT2
GLT25D2,COLGALT2
KIAA0584,COLGALT2
EAD,COLQ
COMET,COMETT
LINC01510,COMETT
C2ORF5,COMMD1
MGC27155,COMMD1
MURR1,COMMD1
FLJ20452,COMMD4
EDM1,COMP
EPD1,COMP
MED,COMP
PSACH,COMP
THBS5,COMP
FLJ23841,COMTD1
HEP-COP,COPA
BETA'-COP,COPB2
BETAPRIME-COP,COPB2
EPSILON-COP,COPE
COPG,COPG1
CIT1,COPG2IT1
COPG2AS,COPG2IT1
NCRNA00170,COPG2IT1
CSN7B,COPS7B
CSNAP,COPS9
MYEOV2,COPS9
CGI-120,COPZ1
COPZ,COPZ1
MGC23008,COPZ2
CGI-10,COQ6
ADCK3,COQ8A
CABC1,COQ8A
COQ8,COQ8A
SCAR9,COQ8A
ADCK4,COQ8B
COQ8,COQ8B
FLJ12229,COQ8B
FLJ32452,COQ10A
FLJ13448,COQ10B
CORONIN-1,CORO1A
HCORO1,CORO1A
P57,CORO1A
CORONIN-3,CORO1C
HCRNN4,CORO1C
IR10,CORO2A
WDR2,CORO2A
CLIPINC,CORO2B
KIAA0925,CORO2B
CLIPINE,CORO6
FLJ14871,CORO6
MGC32686,CORT
SST2,CORT
CLPSMCR,COTL1P1
CLPSMCR,COTL1P2
COX4,COX4I1
COX4-1,COX4I1
COXIV,COX4I1
COXIV-1,COX4I1
COX5BL3,COX5BP3
COX5BL4,COX5BP4
COX6B,COX6B1
COXG,COX6B1
COX6BP1,COX6B1P1
COX7AL,COX7A2
COXVIIA-L,COX7A2
COX8-1,COX8BP
COX8B,COX8BP
COX8H,COX8BP
COX10-AS,COX10-DT
COX10-AS1,COX10-DT
COX10AS,COX10-DT
C12ORF62,COX14
MGC14288,COX14
CEMCOX2,COX15
FAM36A,COX20
FLJ43269,COX20
BA119F7.2,COX20P1
FAM36B,COX20P1
CPA,CPA1
K-CAP,CPAMD8
KIAA1283,CPAMD8
VIP,CPAMD8
CPX-I,CPLX1
CPX-2,CPLX2
DKFZP547D155,CPLX2
ACBP,CPN2
COPN4,CPNE4
CPN4,CPNE4
COPN5,CPNE5
CPN5,CPNE5
KIAA1599,CPNE5
KIAA4217,CPNE9
CSTP1,CPPED1
FLJ11151,CPPED1
GATD6,CPS1
CPS1-IT,CPS1-IT1
CPS1IT,CPS1-IT1
PRO0132,CPS1-IT1
CPSF-73,CPSF3
CPSF73,CPSF3
YSH1,CPSF3
CFIM59,CPSF7
FLJ12529,CPSF7
GLTPD1,CPTP
MGC10334,CPTP
CD35,CR1
KN,CR1
C3DR,CR2
CD21,CR2
CRABP-II,CRABP2
CRAD,CRACD
KIAA1211,CRACD
LCA8,CRB1
RP12,CRB1
MRT2,CRBN
MRT2A,CRBN
C1ORF42,CRCT1
NICE-1,CRCT1
BBF2H7,CREB3L2
TCAG_1951439,CREB3L2
CREB-H,CREB3L3
CREBH,CREB3L3
AIBZIP,CREB3L4
ATCE1,CREB3L4
CREB3,CREB3L4
CREB4,CREB3L4
HJAL,CREB3L4
C5ORF41,CREBRF
LRF,CREBRF
ZF,CREBZF
CREG,CREG1
AVSD2,CRELD1
CIRRIN,CRELD1
HCREM-2,CREM
CRF-BP,CRHBP
CRFBP,CRHBP
HSPC139,CRIPT
DKFZP434B044,CRISPLD2
LCRISP2,CRISPLD2
LGL1,CRISPLD2
CISS,CRLF1
CISS1,CRLF1
CLF,CRLF1
CLF-1,CRLF1
CREME9,CRLF3
CYTOR4,CRLF3
DPYSL1,CRMP1
DRP-1,CRMP1
CRNDEP,CRNDE
LINC00180,CRNDE
LOC643911,CRNDE
C1ORF10,CRNN
SEP53,CRNN
CROCC1,CROCC
ROLT,CROCC
ROOTLETIN,CROCC
MGC12760,CROCCP2
PTX1,CRP
ASPIC1,CRTAC1
CEP-68,CRTAC1
FLJ10320,CRTAC1
CASP,CRTAP
LEPREL3,CRTAP
P3H5,CRTAP
TORC2,CRTC2
FLJ21868,CRTC3
CORD2,CRX
CRD,CRX
LCA7,CRX
OTX3,CRX
CRYB1,CRYBA1
AIM1L,CRYBG2
FLJ38020,CRYBG2
DKFZP667G2110,CRYBG3
CRYG6,CRYGFP
CRYGFP1,CRYGFP
P1,CRYGFP
CRYG8,CRYGS
CSD,CSAD
PCAP,CSAD
CSAG3B,CSAG2
CT24.2,CSAG2
TRAG3,CSAG2
D1S155E,CSDE1
UNR,CSDE1
CD114,CSF3R
GCSFR,CSF3R
CHGN,CSGALNACT1
CSGALNACT-1,CSGALNACT1
FLJ11264,CSGALNACT1
CSA,CSH1
CSMT,CSH1
FLJ75407,CSH1
HCS-A,CSH1
PL,CSH1
CS-2,CSH2
CSB,CSH2
HCS-B,CSH2
CS-5,CSHL1
CSHP1,CSHL1
CSL,CSHL1
HCS-L,CSHL1
MGC149868,CSHL1
CS-KMT,CSKMT
METTL12,CSKMT
U99HG,CSKMT
KIAA1884,CSMD2
ENST00000434181,CSMD2-AS1
CASB,CSN2
CSN10,CSN3
CK1,CSNK1A1
CK1A,CSNK1A1
CK1ALPHA,CSNK1A1
CKIA,CSNK1A1
CKIALPHA,CSNK1A1
CKID,CSNK1D
CKIDELTA,CSNK1D
HCKID,CSNK1D
NGC,CSPG5
AXUD1,CSRNP1
DKFZP566F164,CSRNP1
FAM130B,CSRNP1
TAIP-3,CSRNP1
URAX1,CSRNP1
C12ORF2,CSRNP2
C12ORF22,CSRNP2
FAM130A1,CSRNP2
PPP1R72,CSRNP2
TAIP-12,CSRNP2
CSRP,CSRP1
CYRP,CSRP1
D1S181E,CSRP1
STF1,CSTA
STFA,CSTA
CSTF-64,CSTF2
CSTF-77,CSTF3
CSTF3-AS1,CSTF3-DT
BARS,CTBP1
PCAT10,CTBP1-AS
C4ORF42,CTBP1-DT
CTBP1-AS1,CTBP1-DT
CTBP1-AS2,CTBP1-DT
MGC21675,CTBP1-DT
RIBEYE,CTBP2
CTB,CTBS
AAF132,CTC1
C17ORF68,CTC1
FLJ22170,CTC1
CFAP108,CTCF
FAP108,CTCF
DULLARD,CTDNEP1
HSA011916,CTDNEP1
NET56,CTDNEP1
NLIIF,CTDSP1
SCP1,CTDSP1
C3ORF8,CTDSPL
HYA22,CTDSPL
PSR1,CTDSPL
RBSP3,CTDSPL
SCP3,CTDSPL
CSE,CTH
CD,CTLA4
CD152,CTLA4
CELIAC3,CTLA4
CTLA-4,CTLA4
GSE,CTLA4
IDDM12,CTLA4
CAP-R,CTNNA2
CT114,CTNNA2
ARMADILLO,CTNNB1
BETA-CATENIN,CTNNB1
CTNNB,CTNNB1
ICAT,CTNNBIP1
MGC15093,CTNNBIP1
CTNND,CTNND1
KIAA0384,CTNND1
P120,CTNND1
P120CAS,CTNND1
P120CTN,CTNND1
GT24,CTNND2
NPRAP,CTNND2
CTNS-LSB,CTNS
PQLC4,CTNS
SLC66A4,CTNS
CTPS,CTPS1
GATD5A,CTPS1
CLCR,CTRC
ELA4,CTRC
DPP1,CTSC
PALS,CTSC
PLS,CTSC
CLN10,CTSD
CPSD,CTSD
CATSF,CTSF
CLN13,CTSF
CTSO,CTSK
CTSO2,CTSK
PKND,CTSK
PYCD,CTSK
CTSL3,CTSL3P
HCTSL-S,CTSL3P
CTSL1P3,CTSLP3
CTSLL3,CTSLP3
BA564C4.3,CTSLP4
CTSL1P4,CTSLP4
CTSLL4,CTSLP4
OTTHUMG00000018237,CTSLP4
C7ORF8,CTTNBP2
CORTBP2,CTTNBP2
KIAA1758,CTTNBP2
ORF4,CTTNBP2
ATPBD3,CTU1
MGC17332,CTU1
NCS6,CTU1
C16ORF84,CTU2
NCS2,CTU2
DJ20C7.5,CUL7
KIAA0076,CUL7
PSMD5-AS1,CUTALP
CGI-32,CUTC
CASP,CUX1
CDP,CUX1
CDP/CUT,CUX1
CDP/CUX,CUX1
CDP1,CUX1
CLOX,CUX1
CUT,CUX1
CUTL1,CUX1
CUX,CUX1
CUX/CDP,CUX1
GOLIM6,CUX1
AD002,CWC15
C11ORF5,CWC15
CWF15,CWC15
HSPC148,CWC15
NY-CO-10,CWC27
SDCCAG-10,CWC27
SDCCAG10,CWC27
FLJ10998,CWF19L1
HDRN1,CWF19L1
FLJ32343,CWF19L2
CCRL1,CX3CR1
CMKBRL1,CX3CR1
CMKDR1,CX3CR1
GPR13,CX3CR1
V28,CX3CR1
FSP,CXCL1
GRO1,CXCL1
GROA,CXCL1
MGSA,CXCL1
MGSA-A,CXCL1
NAP-3,CXCL1
SCYB1,CXCL1
CXCL1P,CXCL1P1
GRO1P,CXCL1P1
GROP,CXCL1P1
MGSAP,CXCL1P1
SCYB1P,CXCL1P1
CINC-2A,CXCL2
GRO2,CXCL2
GROB,CXCL2
MGSA-B,CXCL2
MIP-2A,CXCL2
SCYB2,CXCL2
CINC-2B,CXCL3
GRO3,CXCL3
GROG,CXCL3
MIP-2B,CXCL3
SCYB3,CXCL3
ENA-78,CXCL5
SCYB5,CXCL5
3-10C,CXCL8
AMCF-I,CXCL8
B-ENAP,CXCL8
GCP-1,CXCL8
GCP1,CXCL8
IL-8,CXCL8
IL8,CXCL8
K60,CXCL8
LECT,CXCL8
LUCT,CXCL8
LYNAP,CXCL8
MDNCF,CXCL8
MONAP,CXCL8
NAF,CXCL8
NAP-1,CXCL8
NAP1,CXCL8
SCYB8,CXCL8
TSG-1,CXCL8
CMK,CXCL9
CRG-10,CXCL9
HUMIG,CXCL9
MIG,CXCL9
SCYB9,CXCL9
C7,CXCL10
CRG-2,CXCL10
GIP-10,CXCL10
IFI10,CXCL10
INP10,CXCL10
IP-10,CXCL10
MOB-1,CXCL10
SCYB10,CXCL10
B-R1,CXCL11
H174,CXCL11
I-TAC,CXCL11
IP-9,CXCL11
SCYB11,CXCL11
SCYB9B,CXCL11
PBSF,CXCL12
SCYB12,CXCL12
SDF-1A,CXCL12
SDF-1B,CXCL12
SDF1,CXCL12
SDF1A,CXCL12
SDF1B,CXCL12
TLSF-A,CXCL12
TLSF-B,CXCL12
TPAR1,CXCL12
ANGIE,CXCL13
ANGIE2,CXCL13
BCA-1,CXCL13
BLC,CXCL13
BLR1L,CXCL13
SCYB13,CXCL13
BMAC,CXCL14
BOLEKINE,CXCL14
BRAK,CXCL14
KEC,CXCL14
KS1,CXCL14
MIP-2G,CXCL14
NJAC,CXCL14
SCYB14,CXCL14
CXCLG16,CXCL16
SR-PSOX,CXCL16
SRPSOX,CXCL16
CD181,CXCR1
CDW128A,CXCR1
CKR-1,CXCR1
CMKAR1,CXCR1
IL8RA,CXCR1
CD182,CXCR2
CMKAR2,CXCR2
IL8RB,CXCR2
CXCR2P,CXCR2P1
IL8RBP,CXCR2P1
CD184,CXCR4
D2S201E,CXCR4
FUSIN,CXCR4
HM89,CXCR4
HSY3RR,CXCR4
LESTR,CXCR4
NPY3R,CXCR4
NPYR,CXCR4
NPYY3R,CXCR4
BLR1,CXCR5
CD185,CXCR5
MDR15,CXCR5
BONZO,CXCR6
CD186,CXCR6
STRL33,CXCR6
TYMSTR,CXCR6
CXORF25,CXXC1P1
FLJ36789,CXXC1P1
IDAX,CXXC4
HSPC195,CXXC5
RINF,CXXC5
WID,CXXC5
CYB5P2,CYB5AP2
CYB5-M,CYB5B
HUMB5R2,CYB5R1
NQO3A2,CYB5R1
LOC606495,CYB5RL
CYBASC3,CYB561A3
FLJ39035,CYB561D1
FLJ44753,CYB561D1
101F6,CYB561D2
TSP10,CYB561D2
P22-PHOX,CYBA
C17ORF62,CYBC1
EROS,CYBC1
FLJ90469,CYBC1
MGC4368,CYBC1
CYB561A2,CYBRD1
DCYTB,CYBRD1
FLJ23462,CYBRD1
FRRS3,CYBRD1
HCP37,CYCSP2
HCP4,CYCSP4
HCP7,CYCSP7
HCP8,CYCSP8
HCP17,CYCSP17
HCP20,CYCSP20
HC3,CYCSP24
HCP24,CYCSP24
HCP31,CYCSP24
HCP26,CYCSP26
HCP27,CYCSP27
HCP28,CYCSP28
HCP29,CYCSP29
HCP1,CYCSP51
HC6,CYCSP52
HCP2,CYCSP52
HCP3,CYCSP53
BA513I15.3,CYCSP55
CYCSL1,CYCSP55
HCP15,CYCSP55
HCP9,CYCTP
PIR121,CYFIP2
CP11,CYP1A1
CYP1,CYP1A1
P1-450,CYP1A1
P450-C,CYP1A1
P450DX,CYP1A1
CP1B,CYP1B1
GLC3A,CYP1B1
C2ORF58,CYP1B1-AS1
MGC34824,CYP1B1-AS1
CYP2A,CYP2A7
CPCI,CYP2C18
CYP2C,CYP2C18
CYP2C17,CYP2C18
P450IIC17,CYP2C18
CYP2C62P,CYP2C23P
CYP2C-SE1[7],CYP2C56P
SPG49,CYP2U1
SPG56,CYP2U1
CYP3A3,CYP3A4
CP35,CYP3A5
P450PCN3,CYP3A5
PCN3,CYP3A5
CYP4A2,CYP4A11
CYP4AII,CYP4A11
NCRNA-A3,CYP4A22-AS1
CYP4A-SE1[12],CYP4A26P
CYP4A-SE3[12],CYP4A27P
CYP4A-SE2[1],CYP4A43P
CYP4A-SE4[2],CYP4A44P
CYP4F-SE1[6:8],CYP4F25P
CYP4F-SE2[6],CYP4F26P
4F-SE9[6:7:8],CYP4F30P
C2ORF14,CYP4F30P
DKFZP434F1719,CYP4F30P
CYP4F-SE5[6:8],CYP4F32P
CYP4F-SE6[6],CYP4F33P
CYP4F-SE14[6:8],CYP4F59P
CYP4F-SE15[6:7:8],CYP4F60P
CYP4F-SE11[6:7:8],CYP4F62P
CYP4F43P,CYP4F62P
CYP4AH1,CYP4V2
MGC40051,CYP4X1
CYP4A20,CYP4Z1
FLJ40054,CYP4Z2P
CYP12,CYP8B1
CPT7,CYP17A1
CYP17,CYP17A1
P450C17,CYP17A1
S17AH,CYP17A1
ARO,CYP19A1
ARO1,CYP19A1
AROMATASE,CYP19A1
CPV1,CYP19A1
CYAR,CYP19A1
CYP19,CYP19A1
P-450AROM,CYP19A1
CYP-M,CYP20A1
P450RAI-2,CYP26B1
CP27,CYP27A1
CTX,CYP27A1
CYP27,CYP27A1
CYP1,CYP27B1
P450C1,CYP27B1
PDDR,CYP27B1
VDD1,CYP27B1
